회자	추첨일	N1-N2-N3-N4-N5-N6	BN	SUM	AC	L05	L10	1등	당첨금액	2등	당첨금액	3등	당첨금액	4등	당첨금액	5등	당첨금액	자동	수동	반자동
0082	2004-06-26	01-02-03-14-27-42	39	89	8	4	4	1	14,562,494,400	20	121,354,120	637	3,810,177	36,139	134,320	638,058	10,000	0	0	0
0083	2004-07-03	06-10-15-17-19-34	14	101	7	2	5	2	7,086,948,300	15	157,487,740	851	2,775,930	45,924	102,880	763,287	10,000	0	0	0
0084	2004-07-10	16-23-27-34-42-45	11	187	6	3	3	2	7,669,779,000	17	150,387,824	635	4,026,131	32,402	157,805	582,445	10,000	0	0	0
0085	2004-07-17	06-08-13-23-31-36	21	117	8	3	3	4	3,462,109,800	31	74,453,975	823	2,804,464	41,746	110,577	664,492	10,000	0	0	0
0086	2004-07-24	02-12-37-39-41-45	33	176	8	2	4	1	14,252,186,400	16	148,460,275	611	3,887,667	35,057	135,515	616,434	10,000	0	0	0
0087	2004-07-31	04-12-16-23-34-43	26	132	9	4	5	11	1,799,358,055	33	99,964,337	1,250	2,639,059	54,768	120,466	890,859	10,000	0	0	0
0088	2004-08-07	01-17-20-24-30-41	27	133	10	3	6	4	3,069,709,650	31	66,015,262	1,183	1,729,902	64,639	63,321	1,098,115	5,000	0	0	0
0089	2004-08-14	04-26-28-29-33-40	37	160	9	1	4	3	4,248,321,900	30	70,805,365	1,340	1,585,195	72,667	58,463	1,261,896	5,000	0	0	0
0090	2004-08-21	17-20-29-35-38-44	10	183	4	3	3	4	3,291,435,300	34	64,537,948	1,297	1,691,820	67,888	64,645	1,160,774	5,000	0	0	0
0091	2004-08-28	01-21-24-26-29-42	27	143	8	4	5	4	3,582,902,400	32	74,643,800	1,205	1,982,242	64,183	74,431	1,128,902	5,000	0	0	0
0092	2004-09-04	03-14-24-33-35-36	17	145	8	3	6	11	1,233,270,846	50	45,219,931	1,623	1,393,098	79,319	57,011	1,307,607	5,000	0	0	0
0093	2004-09-11	06-22-24-36-38-44	19	170	7	4	5	6	2,269,178,150	26	87,276,083	1,462	1,552,106	68,597	66,160	1,185,275	5,000	0	0	0
0094	2004-09-18	05-32-34-40-41-45	06	197	10	2	4	6	2,245,339,950	38	59,087,894	1,353	1,659,527	71,106	63,155	1,223,793	5,000	0	0	0
0095	2004-09-25	08-17-27-31-34-43	14	160	8	2	6	8	1,747,741,238	48	48,548,368	1,728	1,348,566	82,432	56,540	1,347,106	5,000	0	0	0
0096	2004-10-02	01-03-08-21-22-31	20	86	10	6	6	7	1,847,133,515	38	56,710,240	1,197	1,800,326	65,301	66,002	1,111,779	5,000	0	0	0
0097	2004-10-09	06-07-14-15-20-36	03	98	8	3	4	9	1,496,214,000	46	48,789,587	1,543	1,454,518	77,227	58,123	1,282,678	5,000	0	0	0
0098	2004-10-16	06-09-16-23-24-32	43	110	8	3	5	4	3,177,972,300	45	47,081,072	1,880	1,126,941	87,818	48,251	1,385,812	5,000	0	0	0
0099	2004-10-23	01-03-10-27-29-37	11	107	8	3	4	6	2,169,219,050	40	54,230,477	1,581	1,372,056	77,203	56,196	1,282,311	5,000	0	0	0
0100	2004-10-30	01-07-11-23-37-42	06	121	10	4	5	4	3,315,315,525	36	61,394,732	1,544	1,431,484	76,899	57,484	1,235,777	5,000	0	0	0
0101	2004-11-06	01-03-17-32-35-45	08	133	10	4	6	5	2,707,297,500	38	59,370,560	1,405	1,605,752	73,210	61,634	1,246,344	5,000	0	0	0
0102	2004-11-13	17-22-24-26-35-40	42	164	6	4	6	9	1,457,153,067	24	91,072,067	1,352	1,616,664	75,476	57,919	1,322,337	5,000	0	0	0
0103	2004-11-20	05-14-15-27-30-45	10	136	9	4	5	8	1,691,589,563	38	59,354,020	1,583	1,424,797	75,587	59,679	1,231,156	5,000	0	0	0
0104	2004-11-27	17-32-33-34-42-44	35	202	7	3	5	2	6,610,743,750	23	95,807,881	1,293	1,704,240	71,824	61,361	1,246,208	5,000	0	0	0
0105	2004-12-04	08-10-20-34-41-45	28	158	10	3	6	4	3,416,781,450	26	87,609,781	1,331	1,711,386	69,127	65,904	1,192,263	5,000	0	0	0
0106	2004-12-11	04-10-12-22-24-33	29	105	8	4	4	16	810,461,157	40	54,030,744	2,056	1,051,182	93,551	46,205	1,415,989	5,000	0	0	0
0107	2004-12-18	01-04-05-06-09-31	17	56	6	3	6	2	6,679,927,800	35	63,618,360	2,181	1,020,928	91,651	48,590	1,301,235	5,000	0	0	0
0108	2004-12-25	07-18-22-23-29-44	12	143	7	2	5	7	1,998,900,772	41	56,879,291	1,462	1,595,111	70,827	65,853	1,223,421	5,000	0	0	0
0109	2005-01-01	01-05-34-36-42-44	33	162	8	5	5	12	1,246,838,200	31	80,441,175	1,493	1,670,246	73,179	68,153	1,271,057	5,000	0	0	0
0110	2005-01-08	07-20-22-23-29-43	01	144	10	5	5	3	4,566,262,000	38	60,082,395	1,392	1,640,181	73,674	61,980	1,196,287	5,000	0	0	0
0111	2005-01-15	07-18-31-33-36-40	27	165	10	5	6	6	2,199,047,450	51	43,118,578	1,734	1,268,194	86,863	50,633	1,389,605	5,000	0	0	0
0112	2005-01-22	26-29-30-33-41-42	43	201	6	3	6	9	1,567,271,167	32	73,465,836	1,370	1,715,991	70,247	66,933	1,227,387	5,000	0	0	0
0113	2005-01-29	04-09-28-33-36-45	26	155	8	4	5	9	1,561,528,934	43	54,471,940	1,479	1,583,701	72,711	64,428	1,241,238	5,000	0	0	0
0114	2005-02-05	11-14-19-26-28-41	02	139	9	3	4	6	2,362,345,050	41	57,618,172	1,491	1,584,404	78,504	60,185	1,283,250	5,000	0	0	0
0115	2005-02-12	01-02-06-09-25-28	31	71	8	3	4	9	1,488,589,567	34	65,673,070	1,990	1,122,053	91,627	48,739	1,447,287	5,000	0	0	0
0116	2005-02-19	02-04-25-31-34-37	17	133	8	4	5	7	1,997,747,315	56	41,619,736	1,735	1,343,346	91,897	50,725	1,499,198	5,000	0	0	0
0117	2005-02-26	05-10-22-34-36-44	35	151	9	2	6	9	1,558,378,334	50	46,751,350	1,642	1,423,610	78,361	59,662	1,267,826	5,000	0	0	0
0118	2005-03-05	03-04-10-17-19-22	38	75	9	4	4	10	1,297,989,720	41	52,763,810	1,671	1,294,624	83,233	51,983	1,390,561	5,000	0	0	0
0119	2005-03-12	03-11-13-14-17-21	38	79	6	4	4	9	1,474,899,400	49	45,149,982	1,936	1,142,743	85,327	51,856	1,355,365	5,000	0	0	0
0120	2005-03-19	04-06-10-11-32-37	30	100	8	5	5	3	4,364,530,300	31	70,395,650	1,605	1,359,667	80,400	54,286	1,377,368	5,000	0	0	0
0121	2005-03-26	12-28-30-34-38-43	09	185	9	2	4	2	6,839,648,100	31	73,544,604	1,342	1,698,870	67,464	67,589	1,153,689	5,000	0	0	0
0122	2005-04-02	01-11-16-17-36-40	08	121	10	3	5	9	1,450,073,800	38	57,239,756	1,403	1,550,329	72,518	59,989	1,266,949	5,000	0	0	0
0123	2005-04-09	07-17-18-28-30-45	27	145	8	3	4	5	2,532,982,680	38	55,547,866	1,477	1,429,126	72,742	58,036	1,188,107	5,000	0	0	0
0124	2005-04-16	04-16-23-25-29-42	01	139	8	2	3	9	1,395,936,267	37	56,592,011	1,540	1,359,679	75,040	55,808	1,230,275	5,000	0	0	0
0125	2005-04-23	02-08-32-33-35-36	18	146	8	2	3	7	1,754,870,786	36	56,870,813	1,444	1,417,832	74,261	55,140	1,220,272	5,000	0	0	0
0126	2005-04-30	07-20-22-27-40-43	01	159	8	3	4	9	1,369,301,500	35	58,684,350	1,439	1,427,347	71,370	57,558	1,166,992	5,000	0	0	0
0127	2005-05-07	03-05-10-29-32-43	35	122	10	3	6	6	1,965,939,150	43	45,719,516	1,279	1,537,091	67,175	58,532	1,143,382	5,000	0	0	0
0128	2005-05-14	12-30-34-36-37-45	39	194	10	3	6	6	2,064,043,100	23	89,741,005	1,192	1,731,580	63,294	65,221	1,102,953	5,000	0	0	0
0129	2005-05-21	19-23-25-28-38-42	17	175	8	4	6	11	1,093,629,655	50	40,099,754	1,473	1,361,160	71,124	56,381	1,145,600	5,000	0	0	0
0130	2005-05-28	07-19-24-27-42-45	31	164	8	5	5	4	3,036,496,650	30	67,477,704	1,273	1,590,206	63,587	63,672	1,087,239	5,000	0	0	0
0131	2005-06-04	08-10-11-14-15-21	37	79	5	2	3	8	1,451,214,488	33	58,634,929	1,645	1,176,264	73,893	52,372	1,153,272	5,000	0	0	0
0132	2005-06-11	03-17-23-34-41-45	43	163	9	4	5	4	2,920,473,525	34	57,264,187	1,382	1,408,816	65,277	59,653	1,098,225	5,000	0	0	0
0133	2005-06-18	04-07-15-18-23-26	13	93	3	3	5	8	1,450,242,600	51	37,914,840	1,466	1,319,002	76,266	50,709	1,221,679	5,000	0	0	0
0134	2005-06-25	03-12-20-23-31-35	43	124	8	3	5	5	2,349,155,100	50	39,152,585	1,433	1,366,106	69,698	56,175	1,129,299	5,000	0	0	0
0135	2005-07-02	06-14-22-28-35-39	16	144	9	3	4	7	1,717,293,515	28	71,553,897	1,424	1,406,959	66,201	60,529	1,099,249	5,000	0	0	0
0136	2005-07-09	02-16-30-36-41-42	11	167	8	2	5	6	1,997,694,150	26	76,834,391	1,279	1,561,919	66,993	59,639	1,119,075	5,000	0	0	0
0137	2005-07-16	07-09-20-25-36-39	15	136	8	4	5	9	1,270,403,467	40	47,640,130	1,578	1,207,608	72,935	52,255	1,186,655	5,000	0	0	0
0138	2005-07-23	10-11-27-28-37-39	19	152	8	2	6	5	2,227,152,000	32	57,998,750	1,251	1,483,582	61,230	60,623	1,056,925	5,000	0	0	0
0139	2005-07-30	09-11-15-20-28-43	13	126	10	5	5	7	1,650,210,215	28	68,758,759	1,128	1,706,778	57,271	67,233	986,618	5,000	0	0	0
0140	2005-08-06	03-13-17-18-19-28	08	98	7	2	5	5	2,109,462,840	34	51,702,521	1,310	1,341,898	64,372	54,617	1,082,575	5,000	0	0	0
0141	2005-08-13	08-12-29-31-42-43	02	165	10	2	5	6	1,900,552,400	29	65,536,290	1,144	1,661,323	58,203	65,308	1,000,591	5,000	0	0	0
0142	2005-08-20	12-16-30-34-40-44	19	176	4	3	4	11	1,018,265,564	28	66,672,150	1,326	1,407,859	64,602	57,795	1,067,644	5,000	0	0	0
0143	2005-08-27	26-27-28-42-43-45	08	211	4	4	6	3	3,954,584,700	35	56,494,068	1,182	1,672,837	57,130	69,221	986,951	5,000	0	0	0
0144	2005-09-03	04-15-17-26-36-37	43	135	7	4	6	8	1,402,440,413	38	49,208,436	1,498	1,248,279	74,181	50,416	1,180,411	5,000	0	0	0
0145	2005-09-10	02-03-13-20-27-44	09	109	7	5	6	3	3,797,838,200	38	49,971,556	1,217	1,560,328	63,120	60,169	1,093,545	5,000	0	0	0
0146	2005-09-17	02-19-27-35-41-42	25	166	9	4	6	2	6,043,415,250	34	59,249,170	1,383	1,456,596	62,524	64,439	1,038,812	5,000	0	0	0
0147	2005-09-24	04-06-13-21-40-42	36	126	8	4	4	7	1,700,040,215	35	56,668,008	1,215	1,632,412	62,412	63,558	1,067,800	5,000	0	0	0
0148	2005-10-01	21-25-33-34-35-36	17	184	7	4	5	5	2,323,596,420	35	55,323,725	1,185	1,634,035	63,358	61,124	1,079,664	5,000	0	0	0
0149	2005-10-08	02-11-21-34-41-42	27	151	10	5	6	7	1,639,052,143	43	44,470,407	1,171	1,632,987	60,450	63,267	1,016,240	5,000	0	0	0
0150	2005-10-15	02-18-25-28-37-39	16	149	10	3	5	4	2,831,645,850	46	41,038,346	1,279	1,475,969	65,200	57,907	1,100,850	5,000	0	0	0
0151	2005-10-22	01-02-10-13-18-19	15	63	6	4	4	4	2,716,634,025	45	40,246,430	1,491	1,214,681	68,250	53,073	1,113,528	5,000	0	0	0
0152	2005-10-29	01-05-13-26-29-34	43	108	8	3	5	5	2,278,131,840	30	63,281,440	1,184	1,603,415	60,282	62,986	1,021,147	5,000	0	0	0
0153	2005-11-05	03-08-11-12-13-36	33	83	8	3	5	4	2,730,526,125	52	35,006,746	1,446	1,258,888	71,562	50,875	1,137,072	5,000	0	0	0
0154	2005-11-12	06-19-21-35-40-45	20	166	9	3	6	4	2,836,628,700	32	59,096,432	1,189	1,590,485	60,181	62,847	1,020,067	5,000	0	0	0
0155	2005-11-19	16-19-20-32-33-41	04	161	8	2	4	9	1,193,005,734	37	48,365,098	1,287	1,390,450	62,882	56,917	1,035,003	5,000	0	0	0
0156	2005-11-26	05-18-28-30-42-45	02	168	9	4	5	8	1,401,099,900	30	62,271,107	1,230	1,518,808	59,506	62,789	998,192	5,000	0	0	0
0157	2005-12-03	19-26-30-33-35-39	37	182	7	5	6	2	5,484,903,750	28	65,296,474	1,155	1,582,945	61,650	59,313	1,028,734	5,000	0	0	0
0158	2005-12-10	04-09-13-18-21-34	07	99	8	4	5	10	1,069,544,340	45	39,612,754	1,516	1,175,841	67,910	52,499	1,071,741	5,000	0	0	0
0159	2005-12-17	01-18-30-41-42-43	32	175	8	4	5	6	1,755,407,300	24	73,141,971	1,071	1,639,036	54,933	63,911	920,378	5,000	0	0	0
0160	2005-12-24	03-07-08-34-39-41	01	132	8	3	5	2	5,490,805,350	32	57,195,890	1,079	1,696,264	58,680	62,382	1,022,787	5,000	0	0	0
0161	2005-12-31	22-34-36-40-42-45	44	219	8	3	5	7	1,996,876,272	63	33,275,487	1,381	1,517,999	66,233	63,303	1,116,934	5,000	0	0	0
0162	2006-01-07	01-05-21-25-38-41	24	131	6	4	4	5	2,308,265,760	33	58,289,540	1,172	1,641,259	61,205	62,857	1,057,899	5,000	0	0	0
0163	2006-01-14	07-11-26-28-29-44	16	145	8	2	5	7	1,629,726,515	47	40,454,205	1,390	1,367,876	66,604	57,095	1,099,200	5,000	0	0	0
0164	2006-01-21	06-09-10-11-39-41	27	116	7	4	5	3	4,054,937,900	39	51,986,384	1,626	1,246,906	74,835	54,186	1,250,274	5,000	0	0	0
0165	2006-01-28	05-13-18-19-22-42	31	119	10	4	6	2	6,767,426,700	40	56,395,223	1,535	1,469,583	78,820	57,240	1,297,194	5,000	0	0	0
0166	2006-02-04	09-12-27-36-39-45	14	168	6	4	4	11	1,111,299,982	28	72,763,690	1,507	1,351,947	70,751	57,594	1,140,980	5,000	0	0	0
0167	2006-02-11	24-27-28-30-36-39	04	184	5	4	5	5	2,491,222,920	36	57,667,198	1,313	1,581,127	64,208	64,666	1,122,401	5,000	0	0	0
0168	2006-02-18	03-10-31-40-42-43	30	169	10	2	5	5	2,349,946,920	54	36,264,613	1,544	1,268,322	74,504	52,569	1,233,043	5,000	0	0	0
